,latitude,longitude,t2m,tp,swvl1
22962,1,3337,242.5107,0.0,0.20204206
22963,1,3337,242.96881,2.6002526e-06,0.20204206
22964,1,3337,245.25508,2.0816922e-05,0.20204206
22965,1,3337,243.8609,0.0,0.20204206
22966,1,3338,241.75192,2.6024878e-05,0.202007
22967,1,3338,242.66246,7.0266426e-05,0.202007
22968,1,3338,241.83984,2.0816922e-05,0.202007
22969,1,3338,242.5107,0.0,0.202007
22970,1,3338,242.96881,2.6002526e-06,0.202007
22971,1,3338,245.25508,2.0816922e-05,0.202007
22972,1,3338,243.8609,0.0,0.202007
22973,1,3339,241.75192,2.6024878e-05,0.20196024
22974,1,3339,242.66246,7.0266426e-05,0.20196024
22975,1,3339,241.83984,2.0816922e-05,0.20196024
22976,1,3339,242.5107,0.0,0.20196024
22977,1,3339,242.97165,2.6002526e-06,0.20196024
22978,1,3339,245.25508,2.0816922e-05,0.20196024
22979,1,3339,243.8609,0.0,0.20196024
22980,1,3340,241.75192,2.6024878e-05,0.20193686
22981,1,3340,242.66246,7.0266426e-05,0.20193686
22982,1,3340,241.83984,2.0816922e-05,0.20193686
22983,1,3340,242.5107,0.0,0.20193686
22984,1,3340,242.97165,2.6002526e-06,0.20193686
22985,1,3340,245.25508,2.0816922e-05,0.20193686
22986,1,3340,243.8609,0.0,0.20193686
22987,1,3341,241.75192,2.6024878e-05,0.20189011
22988,1,3341,242.66246,7.0266426e-05,0.20189011
22989,1,3341,241.83984,2.0816922e-05,0.20189011
22990,1,3341,242.5107,0.0,0.20189011
22991,1,3341,242.97165,2.6002526e-06,0.20189011
22992,1,3341,245.25508,2.0816922e-05,0.20189011
22993,1,3341,243.86232,0.0,0.20189011
22994,1,3342,241.75192,2.6024878e-05,0.20185503
22995,1,3342,242.66246,7.0266426e-05,0.20185503
22996,1,3342,241.83984,2.0816922e-05,0.20185503
22997,1,3342,242.51212,0.0,0.20185503
22998,1,3342,242.97165,2.6002526e-06,0.20185503
22999,1,3342,245.25508,2.0816922e-05,0.20185503
23000,1,3342,243.86232,0.0,0.20185503
23001,1,3343,241.75192,2.6024878e-05,0.20180829
23002,1,3343,242.66388,7.0266426e-05,0.20180829
23003,1,3343,241.83984,2.0816922e-05,0.20180829
23004,1,3343,242.51212,0.0,0.20180829
23005,1,3343,242.97165,2.6002526e-06,0.20180829
23006,1,3343,245.25508,2.0816922e-05,0.20180829
23007,1,3343,243.86232,0.0,0.20180829
23008,1,3344,241.74908,2.6024878e-05,0.20178491
23009,1,3344,242.66388,7.0266426e-05,0.20178491
23010,1,3344,241.83984,2.0816922e-05,0.20178491
23011,1,3344,242.51212,0.0,0.20178491
23012,1,3344,242.97165,2.6002526e-06,0.20178491
23013,1,3344,245.25508,2.0816922e-05,0.20178491
23014,1,3344,243.86516,0.0,0.20178491
23015,1,3345,241.74908,2.6024878e-05,0.20173815
23016,1,3345,242.66388,7.0266426e-05,0.20173815
23017,1,3345,241.83984,2.0816922e-05,0.20173815
23018,1,3345,242.51212,0.0,0.20173815
23019,1,3345,242.97305,2.6002526e-06,0.20173815
23020,1,3345,245.25508,2.0816922e-05,0.20173815
23021,1,3345,243.86516,0.0,0.20173815
23022,1,3346,241.74908,2.6024878e-05,0.20170309
23023,1,3346,242.66388,7.0266426e-05,0.20170309
23024,1,3346,241.83984,2.0816922e-05,0.20170309
